Gene symbol,Site model ID
FOXM1,V$FOXM1_Q3
RAD21,V$RAD21_01
RAD21,V$RAD21_04
RAD21,V$RAD21_10
RAD21,V$RAD21_11
SMAD3,V$SMAD3_02
SMAD3,V$SMAD3_04
JUNB,V$AP1_01
JUNB,V$AP1_Q4_01
JUNB,V$AP1_Q6_01
JUNB,V$JUNBFOSB_01
JUNB,V$JUNBFOS_01
JUNB,V$JUNBFRA2_01
JUNB,V$JUNB_01
JUNB,V$JUNB_02
JUNB,V$JUNB_04
JUNB,V$JUNB_05
JUNB,V$JUNB_07
JUNB,V$JUNB_Q6
JUN,V$AP1_01
JUN,V$AP1_02
JUN,V$AP1_Q4_01
JUN,V$AP1_Q6_01
JUN,V$BATFJUN_01
JUN,V$CFOSCJUN_Q5
JUN,V$CJUN_Q6
JUN,V$JUNFOSB_01
JUN,V$JUNFRA1_01
JUN,V$JUNFRA2_ 01
JUN,V$JUN_03
JUN,V$JUN_06
JUN,V$JUN_08
JUN,V$JUN_11
HDAC2,V$HDAC2_02
HDAC2,V$HDAC2_04
ETV5,V$ERM_03
ETV5,V$ERM_05
ETV5,V$ETV5DLX2_01
ETV5,V$ETV5DRGX_01
ETV5,V$ETV5EOMES_ 01
ETV5,V$ETV5ETV7_01
ETV5,V$ETV5FIGLA_01
ETV5,V$ETV5FOXO1_02
ETV5,V$ETV5HES7_ 01
ETV5,V$ETV5HOXA2_01
ETV5,V$ETV5TCF3_01
